,ID,Rad,U_Rad,KIC,Period,U_Period,DetectProb
1987,2316.01,2.896843256196812,0.1683484703789968,7504778,17.1369408,0.0001314,0.0022199667141690332
1988,2317.01,1.2406965924143218,0.065927313685048,10684670,3.78861833,2.285e-05,0.00551095800995841
1989,2318.01,1.0689451608553862,0.0751052683143338,11495458,10.45839865,5.78e-05,0.0019122607367309486
1990,2319.01,1.6882018633115474,0.0928464338134421,9003401,21.1033014,7.289e-05,0.0016868466288698196
1991,2321.01,2.0760803553924525,0.0951970647574911,5978559,95.6114617,0.000863,0.0005398182607298961
1992,2321.02,1.2516191265330625,0.0941211969365205,5978559,36.2530992,0.0009613,0.000675422138836773
1993,2325.01,1.3636338752699422,0.0261759797010605,7120108,1.0258579840000002,1.051e-06,0.014280510018214938
1994,2327.01,1.583090275303184,0.0912376857722619,10730703,5.60013327,2.032e-05,0.004433371950365153
1995,2327.02,1.5261888184288468,0.1156717863777614,10730703,46.331703,0.0008285,0.0007583974957025737
1996,2328.01,2.6208409007181386,0.1803219953896957,8007644,25.2034128,0.0001369,0.001684386074629977
1997,2329.01,1.649752819982342,0.0521840279708616,11192235,1.615357809,2.324e-06,0.010740592651828158
1998,2331.01,1.4893786360911674,0.0426861150032615,12401863,2.832647249,8.329e-06,0.0071517375955600666
1999,2332.01,1.70035654755368,0.4122649209354517,5534941,3.70063251,1.772e-05,0.005995687195207387
2000,2337.01,2.47210481973588,0.6897068277041676,5599774,8.49640437,2.908e-05,0.003546068751986385
2001,2338.01,2.621429654190268,0.1680698200259093,8099138,66.1843646,0.0004536,0.0007757580728392404
2002,2339.01,1.15185189360959,0.1055791912994609,7033233,2.032318856,4.589e-06,0.008468680903706893
2003,2340.01,1.4238717657249251,0.0757252732012425,8681734,7.68478504,3.077e-05,0.003428919030678327
2004,2344.01,1.0543633944917834,0.064979488139529,8247771,1.118547814,3.233e-06,0.01272284248693685
2005,2345.01,1.9331652712231533,0.2216950190170541,5629538,15.18727049,8.664e-05,0.0022449823489407656
2006,2346.01,2.8903124475574047,0.1253449166104402,8561231,28.6853212,0.0002024,0.0015122839752987694
2007,2347.01,1.1841702970513992,0.0350534832064842,8235924,0.5880010529999999,5.82e-07,0.02063871887142579
2008,2348.01,2.600829955143524,0.1446749524116755,6941084,85.7357202,0.0008312,0.0006493129244028884
2009,2350.01,1.5416640232038217,0.3302488561888592,6200235,1.078389713,2.588e-06,0.013991941684864517
2010,2351.01,1.6432254049093231,0.0964492181040404,1872821,10.27380957,5.929e-05,0.002880215435193444
2011,2352.01,1.068799939554833,0.0243207392338002,8013439,13.39155154,5.939e-05,0.001472641712545751
2012,2352.02,0.9360868511037728,0.0322631342313152,8013439,5.62904396,2.165e-05,0.002848228230075491
2013,2352.03,1.0054266178522004,0.1873045617553511,8013439,8.2562857,3.697e-05,0.0020907876165773007
